stationId,building,x,y,assetId,assetType,type,size,manufacturer,lastInspection,nextDue,isoCategory,inspectionStickerID,status
ST-2-006,2,6256,2411,2-006-1,extinguisher,Powder,13.4,HO | TORNADO,1/10/2025,1/10/2026,5,233855,good
ST-2-006,2,6256,2411,2-006-2,extinguisher,Powder,9.4,111 | 0041,1/10/2025,1/10/2026,2,233856,good
ST-2-006,2,6256,2411,2-M6,hose,Water,30 m,,9/30/2024,9/30/2025,1,-,good
ST-2-007,2,6060,2599,2-007-1,extinguisher,Powder,9.2,112 | 0041,1/10/2025,1/10/2026,2,233857,good
ST-2-007,2,6060,2599,2-007-2,extinguisher,CO2,13.85,113 | 01516,1/10/2025,1/10/2026,5,233858,good
ST-2-007,2,6060,2599,2-M7,hose,Water,30 m,,9/30/2024,9/30/2025,1,-,good
ST-2-008,2,5572,2290,2-008-2,extinguisher,Powder,9.3,114 | 0041,1/10/2025,1/10/2026,2,233859,good
ST-2-008,2,5572,2290,2-008-1,extinguisher,CO2,13.9,115 | 4137,1/10/2025,1/10/2026,5,233860,good
ST-2-008,2,5572,2290,2-M8,hose,Water,30 m,,9/30/2024,9/30/2025,1,-,good
ST-2-009,2,5585,2542,2-009,extinguisher,CO2,6.8,122 | 051073,1/10/2025,1/10/2026,5,233871,good
ST-2-010,2,5610,2557,2-010,extinguisher,CO2,13.3,121 | TORNADO,1/10/2025,1/10/2026,5,233870,good
ST-2-011,2,5552,2277,2-011-1,extinguisher,,,,,,,No acces,good
ST-2-011,2,5552,2277,2-011-2,extinguisher,,,,,,,No Access,good
ST-2-011,2,5552,2277,2-M11,hose,Water,30 m,,,,1,No Access,good
ST-2-012,2,4969,2374,2-012-2,extinguisher,Water,13.5,119 | 00124,1/10/2025,1/10/2026,1,233864,good
ST-2-012,2,4969,2374,2-012-1,extinguisher,Powder,9.35,120 | 0041,1/10/2025,1/10/2026,2,233865,good
ST-2-012,2,4969,2374,2-M12,hose,Water,30 m,,9/30/2024,9/30/2025,,-,good
ST-2-013,2,5213,2603,2-013-1,extinguisher,,,,,,,No Access,good
ST-2-013,2,5213,2603,2-013-2,extinguisher,,,,,,,No Access,good
ST-2-013,2,5213,2603,2-M13,hose,Water,30 m,,,,1,No Access,good
ST-3-001,3,4289,2780,3-001-1,extinguisher,Water,13.2,213 | 171985,1/13/2025,1/13/2026,1,233984,good
ST-3-001,3,4289,2780,3-001-2,extinguisher,Powder,9.3,214 | 059872,1/13/2025,1/13/2026,2,233985,good
ST-3-002,3,3793,2051,3-002-1,extinguisher,Water,13.55,218 | 002,1/13/2025,1/13/2026,1,233989,good
ST-3-002,3,3793,2051,3-002-2,extinguisher,Powder,9.25,219 | 02186,1/13/2025,1/13/2026,,233990,good
ST-3-002,3,3793,2051,3-M2,hose,Water,30 m,,9/30/2024,9/30/2025,,-,good
ST-3-003,3,3908,2632,3-003-2,extinguisher,Powder,"9,400",215 | 18321,1/13/2025,1/13/2026,2,233986,good
ST-3-003,3,3908,2632,3-003-1,extinguisher,Water,13.25,216 | 416623,1/13/2025,1/13/2026,1,233987,good
ST-3-003,3,3908,2632,3-M3,hose,Water,30 m,,9/30/2023,9/30/2024,1,-,good
ST-3-004,3,3738,2657,3-004-2,extinguisher,Water,"13,400",240 | 002667,1/14/2025,1/14/2026,1,234101,good
ST-3-004,3,3738,2657,3-004-1,extinguisher,Powder,9.5,241 | 059771,1/14/2025,1/14/2026,2,234102,good
ST-3-005,3,3574,2657,3-005,extinguisher,CO2,"18,000",246 | 013125,1/14/2025,1/14/2026,5,234107,good
ST-3-006,3,3462,2657,3-006,extinguisher,CO2,"17,900",247 | 172006,1/14/2025,1/14/2026,5,234108,good
ST-3-007,3,3913,2778,3-007-2,extinguisher,Water,"13,200",262 | 02298,1/14/2025,1/14/2026,1,234123,good
ST-3-007,3,3913,2778,3-007-1,extinguisher,,,broken hose,,,,,Not good
ST-3-008,3,3319,3000,3-008-1,extinguisher,Water,"13,600",255 | 00672,1/14/2025,1/14/2026,1,234116,good
